WP          ,WN          ,LP          ,LN          ,Delay       ,Energy      ,NM          ,Norm Delay  ,Norm Energy ,1/NM        
2.000000e-06,2.000000e-07,3.000000e-08,9.000000e-08,4.654399e-08,4.091359e-15,6.382349e-02,8.963323e-02,6.478398e-01,2.350232e-01
2.063246e-06,2.000000e-07,3.000000e-08,9.000000e-08,4.659635e-08,4.103777e-15,6.300231e-02,8.988897e-02,6.509442e-01,2.380865e-01
2.000000e-06,2.063246e-07,3.000000e-08,9.000000e-08,4.865152e-08,4.089835e-15,6.291149e-02,9.381432e-02,6.474587e-01,2.384302e-01
2.000000e-06,2.000000e-07,3.094868e-08,9.000000e-08,4.648971e-08,4.078459e-15,6.798627e-02,8.959161e-02,6.446148e-01,2.206328e-01
2.000000e-06,2.000000e-07,3.000000e-08,9.284605e-08,4.807519e-08,4.089459e-15,6.325164e-02,9.295178e-02,6.473647e-01,2.371480e-01
2.000000e-06,2.000000e-07,4.500000e-08,6.000000e-08,2.117748e-08,4.056423e-15,1.173400e-01,3.931079e-02,6.391057e-01,1.278337e-01
2.063246e-06,2.000000e-07,4.500000e-08,6.000000e-08,2.118568e-08,4.058958e-15,1.168048e-01,3.941897e-02,6.397395e-01,1.284194e-01
2.000000e-06,2.063246e-07,4.500000e-08,6.000000e-08,2.216824e-08,4.052644e-15,1.164150e-01,4.117662e-02,6.381609e-01,1.288494e-01
2.000000e-06,2.000000e-07,4.642302e-08,6.000000e-08,2.252310e-08,4.060258e-15,1.194453e-01,3.931011e-02,6.400644e-01,1.255805e-01
2.000000e-06,2.000000e-07,4.500000e-08,6.189737e-08,2.252585e-08,4.051844e-15,1.161110e-01,4.192491e-02,6.379610e-01,1.291868e-01
1.683180e-06,6.834337e-07,4.056411e-08,9.000000e-08,6.519688e-08,4.066011e-15,9.343993e-02,1.278323e-01,6.415028e-01,1.605309e-01
1.852438e-06,4.270335e-07,4.293259e-08,9.000000e-08,6.946032e-08,4.047764e-15,9.416964e-02,1.356331e-01,6.369411e-01,1.592870e-01
1.911017e-06,4.270335e-07,4.293259e-08,9.000000e-08,6.955418e-08,4.059623e-15,9.336715e-02,1.359825e-01,6.399057e-01,1.606561e-01
1.852438e-06,4.405374e-07,4.293259e-08,9.000000e-08,6.944429e-08,4.050044e-15,9.417318e-02,1.356565e-01,6.375110e-01,1.592810e-01
1.852438e-06,4.270335e-07,4.429023e-08,9.000000e-08,6.945413e-08,4.043967e-15,9.640140e-02,1.356271e-01,6.359917e-01,1.555994e-01
1.852438e-06,4.270335e-07,4.293259e-08,9.284605e-08,7.082971e-08,4.046035e-15,9.383246e-02,1.387193e-01,6.365088e-01,1.598594e-01
1.417952e-06,3.870128e-07,4.426303e-08,9.000000e-08,6.843684e-08,3.960605e-15,1.026530e-01,1.322040e-01,6.151512e-01,1.461234e-01
1.462791e-06,3.870128e-07,4.426303e-08,9.000000e-08,6.852341e-08,3.969405e-15,1.020903e-01,1.324707e-01,6.173513e-01,1.469287e-01
1.417952e-06,3.992512e-07,4.426303e-08,9.000000e-08,6.861057e-08,3.962687e-15,1.026182e-01,1.325943e-01,6.156718e-01,1.461729e-01
1.417952e-06,3.870128e-07,4.566274e-08,9.000000e-08,6.843338e-08,3.960763e-15,1.042234e-01,1.322013e-01,6.151908e-01,1.439216e-01
1.417952e-06,3.870128e-07,4.426303e-08,9.284605e-08,6.980972e-08,3.959096e-15,1.024160e-01,1.352828e-01,6.147740e-01,1.464615e-01
6.158683e-07,3.100763e-07,4.416063e-08,9.000000e-08,1.032724e-07,3.674768e-15,1.226229e-01,1.627712e-01,5.436921e-01,1.223263e-01
6.353437e-07,3.100763e-07,4.416063e-08,9.000000e-08,9.894040e-08,3.703008e-15,1.219148e-01,1.560011e-01,5.507520e-01,1.230367e-01
6.158683e-07,3.198817e-07,4.416063e-08,9.000000e-08,1.032941e-07,3.676011e-15,1.224445e-01,1.628191e-01,5.440027e-01,1.225045e-01
6.158683e-07,3.100763e-07,4.555711e-08,9.000000e-08,1.095061e-07,3.633087e-15,1.245965e-01,1.745386e-01,5.332717e-01,1.203886e-01
6.158683e-07,3.100763e-07,4.416063e-08,9.284605e-08,1.032723e-07,3.674086e-15,1.222791e-01,1.627413e-01,5.435216e-01,1.226701e-01
4.487170e-07,2.258714e-07,4.500000e-08,9.000000e-08,nan         ,3.152485e-15,1.144564e-01,nan         ,4.131213e-01,1.310542e-01
5.996567e-07,3.019421e-07,4.494499e-08,9.000000e-08,1.107924e-07,3.620954e-15,1.246335e-01,1.756725e-01,5.302384e-01,1.203528e-01
6.186195e-07,3.019421e-07,4.494499e-08,9.000000e-08,1.061214e-07,3.655863e-15,1.237829e-01,1.683312e-01,5.389659e-01,1.211799e-01
5.996567e-07,3.114903e-07,4.494499e-08,9.000000e-08,1.108151e-07,3.621720e-15,1.243983e-01,1.757196e-01,5.304299e-01,1.205804e-01
5.996567e-07,3.019421e-07,4.636627e-08,9.000000e-08,1.146000e-07,3.570491e-15,1.237263e-01,1.880186e-01,5.176227e-01,1.212353e-01
5.996567e-07,3.019421e-07,4.494499e-08,9.284605e-08,1.107924e-07,3.620310e-15,1.242180e-01,1.756407e-01,5.300776e-01,1.207554e-01
5.751049e-07,2.920573e-07,4.500000e-08,9.000000e-08,1.147826e-07,3.564558e-15,1.235611e-01,1.865090e-01,5.161396e-01,1.213974e-01
5.932913e-07,2.920573e-07,4.500000e-08,9.000000e-08,1.126673e-07,3.605159e-15,1.243971e-01,1.786983e-01,5.262897e-01,1.205815e-01
5.751049e-07,3.012930e-07,4.500000e-08,9.000000e-08,1.147753e-07,3.565348e-15,1.238393e-01,1.865652e-01,5.163369e-01,1.211248e-01
5.751049e-07,2.920573e-07,4.642302e-08,9.000000e-08,nan         ,3.505866e-15,1.223588e-01,nan         ,5.014664e-01,1.225903e-01
5.751049e-07,2.920573e-07,4.500000e-08,9.284605e-08,1.147898e-07,3.563712e-15,1.241409e-01,1.864842e-01,5.159281e-01,1.208304e-01
5.751049e-07,2.920573e-07,4.500000e-08,9.284605e-08,1.147898e-07,3.563712e-15,1.241409e-01,1.864842e-01,5.159281e-01,1.208304e-01
5.751049e-07,2.920573e-07,4.500000e-08,9.284605e-08,1.147898e-07,3.563712e-15,1.241409e-01,1.864842e-01,5.159281e-01,1.208304e-01
5.751049e-07,2.920573e-07,4.500000e-08,9.284605e-08,1.147898e-07,3.563712e-15,1.241409e-01,1.864842e-01,5.159281e-01,1.208304e-01
5.751049e-07,2.920573e-07,4.500000e-08,9.284605e-08,1.147898e-07,3.563712e-15,1.241409e-01,1.864842e-01,5.159281e-01,1.208304e-01
5.751049e-07,2.920573e-07,4.500000e-08,9.284605e-08,1.147898e-07,3.563712e-15,1.241409e-01,1.864842e-01,5.159281e-01,1.208304e-01
5.751049e-07,2.920573e-07,4.500000e-08,9.284605e-08,1.147898e-07,3.563712e-15,1.241409e-01,1.864842e-01,5.159281e-01,1.208304e-01
