WP             ,WN             ,LP             ,LN             ,energy         ,delay          ,n_energy       ,n_delay        
2.000000e-06   ,6.000000e-07   ,4.000000e-08   ,4.000000e-08   ,1.066708e-14   ,5.188690e-08   ,4.027951e-01   ,6.981150e-01   
2.000063e-06   ,6.000000e-07   ,4.000000e-08   ,4.000000e-08   ,1.066734e-14   ,5.188968e-08   ,4.028059e-01   ,6.981613e-01   
2.000000e-06   ,6.000190e-07   ,4.000000e-08   ,4.000000e-08   ,1.066710e-14   ,5.188466e-08   ,4.027959e-01   ,6.980777e-01   
2.000000e-06   ,6.000000e-07   ,4.000126e-08   ,4.000000e-08   ,1.066682e-14   ,5.188494e-08   ,4.027840e-01   ,6.980824e-01   
2.000000e-06   ,6.000000e-07   ,4.000000e-08   ,4.000126e-08   ,1.066709e-14   ,5.188563e-08   ,4.027953e-01   ,6.980939e-01   
2.400000e-07   ,2.400000e-07   ,4.000000e-08   ,4.000000e-08   ,3.391562e-15   ,8.151003e-08   ,9.964840e-02   ,1.191834e+00   
1.628126e-06   ,6.922600e-07   ,5.120739e-08   ,5.122229e-08   ,8.913740e-15   ,3.641257e-08   ,3.297392e-01   ,4.402095e-01   
1.628177e-06   ,6.922600e-07   ,5.120739e-08   ,5.122229e-08   ,8.913900e-15   ,3.641277e-08   ,3.297458e-01   ,4.402128e-01   
1.628126e-06   ,6.922819e-07   ,5.120739e-08   ,5.122229e-08   ,8.913801e-15   ,3.641226e-08   ,3.297417e-01   ,4.402043e-01   
1.628126e-06   ,6.922600e-07   ,5.120900e-08   ,5.122229e-08   ,8.913716e-15   ,3.641311e-08   ,3.297382e-01   ,4.402185e-01   
1.628126e-06   ,6.922600e-07   ,5.120739e-08   ,5.122391e-08   ,8.913741e-15   ,3.641230e-08   ,3.297392e-01   ,4.402049e-01   
1.153180e-06   ,7.331117e-07   ,4.285887e-08   ,6.504044e-08   ,7.813442e-15   ,3.108872e-08   ,2.838934e-01   ,3.514787e-01   
1.153217e-06   ,7.331117e-07   ,4.285887e-08   ,6.504044e-08   ,7.813562e-15   ,3.108859e-08   ,2.838984e-01   ,3.514764e-01   
1.153180e-06   ,7.331349e-07   ,4.285887e-08   ,6.504044e-08   ,7.813510e-15   ,3.108867e-08   ,2.838963e-01   ,3.514778e-01   
1.153180e-06   ,7.331117e-07   ,4.286023e-08   ,6.504044e-08   ,7.813368e-15   ,3.108967e-08   ,2.838903e-01   ,3.514945e-01   
1.153180e-06   ,7.331117e-07   ,4.285887e-08   ,6.504250e-08   ,7.813450e-15   ,3.108875e-08   ,2.838937e-01   ,3.514791e-01   
4.376368e-07   ,6.236019e-07   ,4.000000e-08   ,6.061680e-08   ,5.228654e-15   ,4.497972e-08   ,1.761939e-01   ,5.829954e-01   
1.056117e-06   ,7.171260e-07   ,4.000000e-08   ,6.420340e-08   ,5.979211e-15   ,nan            ,2.074671e-01   ,nan            
1.145133e-06   ,7.317379e-07   ,4.213403e-08   ,6.496088e-08   ,6.127468e-15   ,nan            ,2.136445e-01   ,nan            
1.152383e-06   ,7.329750e-07   ,4.278545e-08   ,6.503244e-08   ,7.814447e-15   ,3.104023e-08   ,2.839353e-01   ,3.506704e-01   
1.152420e-06   ,7.329750e-07   ,4.278545e-08   ,6.503244e-08   ,7.814567e-15   ,3.104009e-08   ,2.839403e-01   ,3.506681e-01   
1.152383e-06   ,7.329982e-07   ,4.278545e-08   ,6.503244e-08   ,7.814515e-15   ,3.104018e-08   ,2.839381e-01   ,3.506696e-01   
1.152383e-06   ,7.329750e-07   ,4.278681e-08   ,6.503244e-08   ,7.814372e-15   ,3.104118e-08   ,2.839322e-01   ,3.506864e-01   
1.152383e-06   ,7.329750e-07   ,4.278545e-08   ,6.503450e-08   ,7.814455e-15   ,3.104025e-08   ,2.839356e-01   ,3.506708e-01   
1.150828e-06   ,7.326966e-07   ,4.263638e-08   ,6.501718e-08   ,6.118098e-15   ,nan            ,2.132541e-01   ,nan            
1.152228e-06   ,7.329472e-07   ,4.277051e-08   ,6.503091e-08   ,7.814617e-15   ,3.103029e-08   ,2.839424e-01   ,3.505049e-01   
1.152264e-06   ,7.329472e-07   ,4.277051e-08   ,6.503091e-08   ,7.814736e-15   ,3.103015e-08   ,2.839473e-01   ,3.505025e-01   
1.152228e-06   ,7.329704e-07   ,4.277051e-08   ,6.503091e-08   ,7.814687e-15   ,3.103024e-08   ,2.839453e-01   ,3.505040e-01   
1.152228e-06   ,7.329472e-07   ,4.277186e-08   ,6.503091e-08   ,7.814544e-15   ,3.103125e-08   ,2.839393e-01   ,3.505208e-01   
1.152228e-06   ,7.329472e-07   ,4.277051e-08   ,6.503297e-08   ,7.814627e-15   ,3.103032e-08   ,2.839428e-01   ,3.505053e-01   
1.151917e-06   ,7.328889e-07   ,4.274037e-08   ,6.502742e-08   ,7.814770e-15   ,3.101024e-08   ,2.839488e-01   ,3.501707e-01   
1.151954e-06   ,7.328889e-07   ,4.274037e-08   ,6.502742e-08   ,7.814890e-15   ,3.101010e-08   ,2.839538e-01   ,3.501683e-01   
1.151917e-06   ,7.329121e-07   ,4.274037e-08   ,6.502742e-08   ,7.814838e-15   ,3.101019e-08   ,2.839516e-01   ,3.501698e-01   
1.151917e-06   ,7.328889e-07   ,4.274173e-08   ,6.502742e-08   ,7.814693e-15   ,3.101120e-08   ,2.839455e-01   ,3.501866e-01   
1.151917e-06   ,7.328889e-07   ,4.274037e-08   ,6.502948e-08   ,7.814777e-15   ,3.101026e-08   ,2.839490e-01   ,3.501711e-01   
1.151277e-06   ,7.327772e-07   ,4.268024e-08   ,6.502148e-08   ,6.117217e-15   ,nan            ,2.132174e-01   ,nan            
1.151853e-06   ,7.328778e-07   ,4.273435e-08   ,6.502683e-08   ,7.814870e-15   ,3.100624e-08   ,2.839529e-01   ,3.501040e-01   
1.151890e-06   ,7.328778e-07   ,4.273435e-08   ,6.502683e-08   ,7.814990e-15   ,3.100610e-08   ,2.839579e-01   ,3.501016e-01   
1.151853e-06   ,7.329009e-07   ,4.273435e-08   ,6.502683e-08   ,7.814938e-15   ,3.100619e-08   ,2.839557e-01   ,3.501031e-01   
1.151853e-06   ,7.328778e-07   ,4.273571e-08   ,6.502683e-08   ,7.814792e-15   ,3.100720e-08   ,2.839497e-01   ,3.501199e-01   
1.151853e-06   ,7.328778e-07   ,4.273435e-08   ,6.502889e-08   ,7.814877e-15   ,3.100626e-08   ,2.839532e-01   ,3.501044e-01   
1.151725e-06   ,7.328554e-07   ,4.272232e-08   ,6.502564e-08   ,7.815071e-15   ,3.099824e-08   ,2.839613e-01   ,3.499706e-01   
1.151762e-06   ,7.328554e-07   ,4.272232e-08   ,6.502564e-08   ,7.815191e-15   ,3.099810e-08   ,2.839663e-01   ,3.499683e-01   
1.151725e-06   ,7.328786e-07   ,4.272232e-08   ,6.502564e-08   ,7.815138e-15   ,3.099818e-08   ,2.839641e-01   ,3.499697e-01   
1.151725e-06   ,7.328554e-07   ,4.272367e-08   ,6.502564e-08   ,7.814993e-15   ,3.099919e-08   ,2.839580e-01   ,3.499866e-01   
1.151725e-06   ,7.328554e-07   ,4.272232e-08   ,6.502770e-08   ,7.815078e-15   ,3.099826e-08   ,2.839616e-01   ,3.499710e-01   
1.151469e-06   ,7.328108e-07   ,4.269826e-08   ,6.502326e-08   ,7.815501e-15   ,3.098223e-08   ,2.839792e-01   ,3.497039e-01   
1.151505e-06   ,7.328108e-07   ,4.269826e-08   ,6.502326e-08   ,7.815621e-15   ,3.098209e-08   ,2.839842e-01   ,3.497016e-01   
1.151469e-06   ,7.328340e-07   ,4.269826e-08   ,6.502326e-08   ,7.815569e-15   ,3.098218e-08   ,2.839820e-01   ,3.497030e-01   
1.151469e-06   ,7.328108e-07   ,4.269961e-08   ,6.502326e-08   ,7.815423e-15   ,3.098319e-08   ,2.839759e-01   ,3.497199e-01   
1.151469e-06   ,7.328108e-07   ,4.269826e-08   ,6.502532e-08   ,7.815508e-15   ,3.098226e-08   ,2.839795e-01   ,3.497043e-01   
1.150953e-06   ,7.327217e-07   ,4.265019e-08   ,6.501850e-08   ,6.117757e-15   ,nan            ,2.132399e-01   ,nan            
1.151417e-06   ,7.328019e-07   ,4.269345e-08   ,6.502279e-08   ,7.815588e-15   ,3.097903e-08   ,2.839828e-01   ,3.496505e-01   
