WP             ,WN             ,LP             ,LN             ,energy         ,delay          ,n_energy       ,n_delay        
1.500000e-06   ,7.300000e-07   ,4.000000e-08   ,6.500000e-08   ,1.114177e-14   ,2.302952e-07   ,4.225739e-01   ,7.596387e-01   
1.500047e-06   ,7.300000e-07   ,4.000000e-08   ,6.500000e-08   ,1.114197e-14   ,2.302952e-07   ,4.225820e-01   ,7.596386e-01   
1.500000e-06   ,7.300231e-07   ,4.000000e-08   ,6.500000e-08   ,1.114187e-14   ,2.302951e-07   ,4.225778e-01   ,7.596383e-01   
1.500000e-06   ,7.300000e-07   ,4.000126e-08   ,6.500000e-08   ,1.114160e-14   ,2.302964e-07   ,4.225665e-01   ,7.596427e-01   
1.500000e-06   ,7.300000e-07   ,4.000000e-08   ,6.500206e-08   ,1.114178e-14   ,2.302952e-07   ,4.225742e-01   ,7.596386e-01   
1.200000e-07   ,1.200000e-07   ,4.000000e-08   ,8.000000e-08   ,2.838728e-15   ,2.986721e-07   ,7.661368e-02   ,9.954212e-01   
1.200038e-07   ,1.200000e-07   ,4.000000e-08   ,8.000000e-08   ,2.838757e-15   ,2.986706e-07   ,7.661487e-02   ,9.954160e-01   
1.200000e-07   ,1.200038e-07   ,4.000000e-08   ,8.000000e-08   ,2.838744e-15   ,2.986723e-07   ,7.661433e-02   ,9.954217e-01   
1.200000e-07   ,1.200000e-07   ,4.000126e-08   ,8.000000e-08   ,2.838703e-15   ,2.986752e-07   ,7.661264e-02   ,9.954317e-01   
1.200000e-07   ,1.200000e-07   ,4.000000e-08   ,8.000253e-08   ,2.838733e-15   ,2.986722e-07   ,7.661388e-02   ,9.954213e-01   
3.730738e-07   ,1.200000e-07   ,4.000000e-08   ,4.000000e-08   ,3.953930e-15   ,2.528362e-07   ,1.230804e-01   ,8.373663e-01   
3.730856e-07   ,1.200000e-07   ,4.000000e-08   ,4.000000e-08   ,3.953978e-15   ,2.528354e-07   ,1.230824e-01   ,8.373636e-01   
3.730738e-07   ,1.200038e-07   ,4.000000e-08   ,4.000000e-08   ,3.953945e-15   ,2.528363e-07   ,1.230811e-01   ,8.373664e-01   
3.730738e-07   ,1.200000e-07   ,4.000126e-08   ,4.000000e-08   ,3.953900e-15   ,2.528387e-07   ,1.230792e-01   ,8.373747e-01   
3.730738e-07   ,1.200000e-07   ,4.000000e-08   ,4.000126e-08   ,3.953934e-15   ,2.528361e-07   ,1.230806e-01   ,8.373658e-01   
3.243786e-07   ,1.200000e-07   ,4.000000e-08   ,8.000000e-08   ,3.832958e-15   ,2.543398e-07   ,1.180399e-01   ,8.425510e-01   
3.243888e-07   ,1.200000e-07   ,4.000000e-08   ,8.000000e-08   ,3.833001e-15   ,2.543387e-07   ,1.180417e-01   ,8.425474e-01   
3.243786e-07   ,1.200038e-07   ,4.000000e-08   ,8.000000e-08   ,3.832975e-15   ,2.543398e-07   ,1.180406e-01   ,8.425510e-01   
3.243786e-07   ,1.200000e-07   ,4.000126e-08   ,8.000000e-08   ,3.832934e-15   ,2.543423e-07   ,1.180389e-01   ,8.425598e-01   
3.243786e-07   ,1.200000e-07   ,4.000000e-08   ,8.000253e-08   ,3.832961e-15   ,2.543398e-07   ,1.180401e-01   ,8.425509e-01   
3.183992e-07   ,1.200000e-07   ,4.000000e-08   ,4.000000e-08   ,3.732695e-15   ,2.573192e-07   ,1.138623e-01   ,8.528247e-01   
3.184093e-07   ,1.200000e-07   ,4.000000e-08   ,4.000000e-08   ,3.732735e-15   ,2.573182e-07   ,1.138640e-01   ,8.528212e-01   
3.183992e-07   ,1.200038e-07   ,4.000000e-08   ,4.000000e-08   ,3.732711e-15   ,2.573192e-07   ,1.138630e-01   ,8.528249e-01   
3.183992e-07   ,1.200000e-07   ,4.000126e-08   ,4.000000e-08   ,3.732668e-15   ,2.573218e-07   ,1.138611e-01   ,8.528337e-01   
3.183992e-07   ,1.200000e-07   ,4.000000e-08   ,4.000126e-08   ,3.732697e-15   ,2.573190e-07   ,1.138624e-01   ,8.528243e-01   
3.109792e-07   ,1.200000e-07   ,4.000000e-08   ,8.000000e-08   ,3.778961e-15   ,2.557511e-07   ,1.157900e-01   ,8.474176e-01   
3.109890e-07   ,1.200000e-07   ,4.000000e-08   ,8.000000e-08   ,3.779001e-15   ,2.557500e-07   ,1.157917e-01   ,8.474138e-01   
3.109792e-07   ,1.200038e-07   ,4.000000e-08   ,8.000000e-08   ,3.778978e-15   ,2.557511e-07   ,1.157907e-01   ,8.474177e-01   
3.109792e-07   ,1.200000e-07   ,4.000126e-08   ,8.000000e-08   ,3.778939e-15   ,2.557537e-07   ,1.157891e-01   ,8.474266e-01   
3.109792e-07   ,1.200000e-07   ,4.000000e-08   ,8.000253e-08   ,3.778966e-15   ,2.557511e-07   ,1.157902e-01   ,8.474175e-01   
3.088708e-07   ,1.200000e-07   ,4.000000e-08   ,4.000000e-08   ,3.693816e-15   ,2.582890e-07   ,1.122423e-01   ,8.561688e-01   
3.088806e-07   ,1.200000e-07   ,4.000000e-08   ,4.000000e-08   ,3.693855e-15   ,2.582879e-07   ,1.122440e-01   ,8.561653e-01   
3.088708e-07   ,1.200038e-07   ,4.000000e-08   ,4.000000e-08   ,3.693832e-15   ,2.582890e-07   ,1.122430e-01   ,8.561689e-01   
3.088708e-07   ,1.200000e-07   ,4.000126e-08   ,4.000000e-08   ,3.693792e-15   ,2.582916e-07   ,1.122413e-01   ,8.561779e-01   
3.088708e-07   ,1.200000e-07   ,4.000000e-08   ,4.000126e-08   ,3.693819e-15   ,2.582888e-07   ,1.122424e-01   ,8.561683e-01   
3.070259e-07   ,1.200000e-07   ,4.000000e-08   ,5.132030e-08   ,3.715968e-15   ,2.573724e-07   ,1.131654e-01   ,8.530082e-01   
3.070357e-07   ,1.200000e-07   ,4.000000e-08   ,5.132030e-08   ,3.716008e-15   ,2.573713e-07   ,1.131670e-01   ,8.530045e-01   
3.070259e-07   ,1.200038e-07   ,4.000000e-08   ,5.132030e-08   ,3.715985e-15   ,2.573724e-07   ,1.131660e-01   ,8.530083e-01   
3.070259e-07   ,1.200000e-07   ,4.000126e-08   ,5.132030e-08   ,3.715947e-15   ,2.573750e-07   ,1.131644e-01   ,8.530173e-01   
3.070259e-07   ,1.200000e-07   ,4.000000e-08   ,5.132192e-08   ,3.715972e-15   ,2.573722e-07   ,1.131655e-01   ,8.530077e-01   
3.055748e-07   ,1.200000e-07   ,4.000000e-08   ,5.568735e-08   ,3.714380e-15   ,2.572032e-07   ,1.130992e-01   ,8.524250e-01   
3.055845e-07   ,1.200000e-07   ,4.000000e-08   ,5.568735e-08   ,3.714420e-15   ,2.572022e-07   ,1.131008e-01   ,8.524213e-01   
3.055748e-07   ,1.200038e-07   ,4.000000e-08   ,5.568735e-08   ,3.714395e-15   ,2.572033e-07   ,1.130998e-01   ,8.524250e-01   
3.055748e-07   ,1.200000e-07   ,4.000126e-08   ,5.568735e-08   ,3.714359e-15   ,2.572059e-07   ,1.130983e-01   ,8.524341e-01   
3.055748e-07   ,1.200000e-07   ,4.000000e-08   ,5.568911e-08   ,3.714384e-15   ,2.572031e-07   ,1.130993e-01   ,8.524245e-01   
3.052922e-07   ,1.200000e-07   ,4.000000e-08   ,5.462995e-08   ,3.710472e-15   ,2.573075e-07   ,1.129363e-01   ,8.527844e-01   
3.053019e-07   ,1.200000e-07   ,4.000000e-08   ,5.462995e-08   ,3.710511e-15   ,2.573064e-07   ,1.129380e-01   ,8.527806e-01   
3.052922e-07   ,1.200038e-07   ,4.000000e-08   ,5.462995e-08   ,3.710488e-15   ,2.573075e-07   ,1.129370e-01   ,8.527844e-01   
3.052922e-07   ,1.200000e-07   ,4.000126e-08   ,5.462995e-08   ,3.710446e-15   ,2.573101e-07   ,1.129352e-01   ,8.527934e-01   
3.052922e-07   ,1.200000e-07   ,4.000000e-08   ,5.463168e-08   ,3.710474e-15   ,2.573073e-07   ,1.129364e-01   ,8.527839e-01   
3.052423e-07   ,1.200000e-07   ,4.000000e-08   ,5.533840e-08   ,3.711967e-15   ,2.572648e-07   ,1.129986e-01   ,8.526374e-01   
3.052728e-07   ,1.200000e-07   ,4.000000e-08   ,5.490467e-08   ,3.711045e-15   ,2.572929e-07   ,1.129602e-01   ,8.527342e-01   
3.052856e-07   ,1.200000e-07   ,4.000000e-08   ,5.472386e-08   ,3.710518e-15   ,2.573014e-07   ,1.129382e-01   ,8.527635e-01   
3.052952e-07   ,1.200000e-07   ,4.000000e-08   ,5.472386e-08   ,3.710557e-15   ,2.573003e-07   ,1.129399e-01   ,8.527597e-01   
3.052856e-07   ,1.200038e-07   ,4.000000e-08   ,5.472386e-08   ,3.710534e-15   ,2.573014e-07   ,1.129389e-01   ,8.527636e-01   
3.052856e-07   ,1.200000e-07   ,4.000126e-08   ,5.472386e-08   ,3.710493e-15   ,2.573040e-07   ,1.129372e-01   ,8.527726e-01   
3.052856e-07   ,1.200000e-07   ,4.000000e-08   ,5.472559e-08   ,3.710520e-15   ,2.573013e-07   ,1.129383e-01   ,8.527630e-01   
3.052820e-07   ,1.200000e-07   ,4.000000e-08   ,5.475981e-08   ,3.710471e-15   ,2.572992e-07   ,1.129363e-01   ,8.527559e-01   
3.052917e-07   ,1.200000e-07   ,4.000000e-08   ,5.475981e-08   ,3.710510e-15   ,2.572981e-07   ,1.129379e-01   ,8.527521e-01   
3.052820e-07   ,1.200038e-07   ,4.000000e-08   ,5.475981e-08   ,3.710485e-15   ,2.572992e-07   ,1.129369e-01   ,8.527560e-01   
3.052820e-07   ,1.200000e-07   ,4.000126e-08   ,5.475981e-08   ,3.710443e-15   ,2.573018e-07   ,1.129351e-01   ,8.527650e-01   
3.052820e-07   ,1.200000e-07   ,4.000000e-08   ,5.476154e-08   ,3.710471e-15   ,2.572991e-07   ,1.129363e-01   ,8.527555e-01   
3.052807e-07   ,1.200000e-07   ,4.000000e-08   ,5.480215e-08   ,3.710518e-15   ,2.572963e-07   ,1.129383e-01   ,8.527459e-01   
3.052904e-07   ,1.200000e-07   ,4.000000e-08   ,5.480215e-08   ,3.710558e-15   ,2.572952e-07   ,1.129399e-01   ,8.527421e-01   
3.052807e-07   ,1.200038e-07   ,4.000000e-08   ,5.480215e-08   ,3.710535e-15   ,2.572963e-07   ,1.129389e-01   ,8.527460e-01   
3.052807e-07   ,1.200000e-07   ,4.000126e-08   ,5.480215e-08   ,3.710494e-15   ,2.572989e-07   ,1.129372e-01   ,8.527550e-01   
3.052807e-07   ,1.200000e-07   ,4.000000e-08   ,5.480388e-08   ,3.710521e-15   ,2.572962e-07   ,1.129384e-01   ,8.527455e-01   
3.052794e-07   ,1.200000e-07   ,4.000000e-08   ,5.481542e-08   ,3.710533e-15   ,2.572955e-07   ,1.129389e-01   ,8.527431e-01   
3.052890e-07   ,1.200000e-07   ,4.000000e-08   ,5.481542e-08   ,3.710572e-15   ,2.572944e-07   ,1.129405e-01   ,8.527394e-01   
3.052794e-07   ,1.200038e-07   ,4.000000e-08   ,5.481542e-08   ,3.710549e-15   ,2.572955e-07   ,1.129395e-01   ,8.527432e-01   
3.052794e-07   ,1.200000e-07   ,4.000126e-08   ,5.481542e-08   ,3.710508e-15   ,2.572981e-07   ,1.129378e-01   ,8.527522e-01   
3.052794e-07   ,1.200000e-07   ,4.000000e-08   ,5.481715e-08   ,3.710535e-15   ,2.572954e-07   ,1.129390e-01   ,8.527427e-01   
3.052788e-07   ,1.200000e-07   ,4.000000e-08   ,5.481975e-08   ,3.710537e-15   ,2.572953e-07   ,1.129391e-01   ,8.527423e-01   
3.052885e-07   ,1.200000e-07   ,4.000000e-08   ,5.481975e-08   ,3.710576e-15   ,2.572942e-07   ,1.129407e-01   ,8.527385e-01   
