WP          ,WN          ,LP          ,LN          ,Delay       ,Energy      ,NM          ,Norm Delay  ,Norm Energy ,1/NM        
1.200000e-06,2.400000e-07,4.000000e-08,8.000000e-08,2.380009e-08,2.320231e-15,1.033650e-01,5.410988e-02,5.736628e-01,8.707010e-01
1.237947e-06,2.400000e-07,4.000000e-08,8.000000e-08,2.382533e-08,2.335410e-15,1.028171e-01,5.419633e-02,5.775152e-01,8.753404e-01
1.200000e-06,2.475895e-07,4.000000e-08,8.000000e-08,2.341821e-08,2.321864e-15,1.035874e-01,5.280210e-02,5.740771e-01,8.688315e-01
1.200000e-06,2.400000e-07,4.126491e-08,8.000000e-08,2.379406e-08,2.257546e-15,1.063811e-01,5.408925e-02,5.577527e-01,8.460152e-01
1.200000e-06,2.400000e-07,4.000000e-08,8.252982e-08,2.378725e-08,2.319337e-15,1.035389e-01,5.406593e-02,5.734357e-01,8.692388e-01
3.000000e-06,1.500000e-06,8.000000e-08,4.000000e-08,1.547731e-08,2.576347e-15,1.089485e-01,2.560724e-02,6.386668e-01,8.260781e-01
3.094868e-06,1.500000e-06,8.000000e-08,4.000000e-08,1.502738e-08,2.588637e-15,1.093883e-01,2.406636e-02,6.417860e-01,8.227571e-01
3.000000e-06,1.547434e-06,8.000000e-08,4.000000e-08,1.549856e-08,2.589045e-15,1.085570e-01,2.568000e-02,6.418896e-01,8.290574e-01
3.000000e-06,1.500000e-06,8.252982e-08,4.000000e-08,1.567727e-08,2.574533e-15,1.087754e-01,2.629203e-02,6.382064e-01,8.273928e-01
3.000000e-06,1.500000e-06,8.000000e-08,4.126491e-08,1.547751e-08,2.576316e-15,1.089272e-01,2.560791e-02,6.386590e-01,8.262395e-01
2.972279e-06,1.200000e-07,4.000000e-08,4.000000e-08,4.488190e-08,3.028854e-15,6.893254e-02,1.263079e-01,7.535162e-01,1.305624e+00
3.000000e-06,1.441579e-06,7.977255e-08,4.000000e-08,1.543300e-08,2.561557e-15,1.095128e-01,2.545546e-02,6.349130e-01,8.218214e-01
3.094868e-06,1.441579e-06,7.977255e-08,4.000000e-08,1.498440e-08,2.573721e-15,1.099975e-01,2.391917e-02,6.380002e-01,8.182001e-01
3.000000e-06,1.487165e-06,7.977255e-08,4.000000e-08,1.545341e-08,2.573698e-15,1.090794e-01,2.552538e-02,6.379945e-01,8.250871e-01
3.000000e-06,1.441579e-06,8.229518e-08,4.000000e-08,1.563229e-08,2.560381e-15,1.093187e-01,2.613798e-02,6.346144e-01,8.232810e-01
3.000000e-06,1.441579e-06,7.977255e-08,4.126491e-08,1.543320e-08,2.561784e-15,1.094563e-01,2.545618e-02,6.349705e-01,8.222463e-01
3.000000e-06,1.408499e-06,7.962584e-08,4.000000e-08,1.540648e-08,2.553762e-15,1.098462e-01,2.536467e-02,6.329345e-01,8.193272e-01
3.094868e-06,1.408499e-06,7.962584e-08,4.000000e-08,1.495872e-08,2.565218e-15,1.103560e-01,2.383122e-02,6.358421e-01,8.155424e-01
3.000000e-06,1.453040e-06,7.962584e-08,4.000000e-08,1.542639e-08,2.564987e-15,1.094115e-01,2.543286e-02,6.357835e-01,8.225829e-01
3.000000e-06,1.408499e-06,8.214383e-08,4.000000e-08,1.560543e-08,2.551842e-15,1.096401e-01,2.604598e-02,6.324472e-01,8.208673e-01
3.000000e-06,1.408499e-06,7.962584e-08,4.126491e-08,1.540671e-08,2.552960e-15,1.097898e-01,2.536543e-02,6.327310e-01,8.197480e-01
3.000000e-06,1.374243e-06,7.948185e-08,4.000000e-08,1.537970e-08,2.545278e-15,1.101910e-01,2.527296e-02,6.307812e-01,8.167634e-01
3.094868e-06,1.374243e-06,7.948185e-08,4.000000e-08,1.493276e-08,2.556487e-15,1.107257e-01,2.374232e-02,6.336262e-01,8.128192e-01
3.000000e-06,1.417701e-06,7.948185e-08,4.000000e-08,1.539909e-08,2.556061e-15,1.097815e-01,2.533935e-02,6.335180e-01,8.198105e-01
3.000000e-06,1.374243e-06,8.199528e-08,4.000000e-08,1.557827e-08,2.543335e-15,1.099730e-01,2.595299e-02,6.302880e-01,8.183826e-01
3.000000e-06,1.374243e-06,7.948185e-08,4.126491e-08,1.537991e-08,2.544098e-15,1.101617e-01,2.527366e-02,6.304817e-01,8.169809e-01
3.000000e-06,1.326647e-06,7.926504e-08,7.536385e-08,1.533841e-08,2.398969e-15,1.208714e-01,2.513156e-02,5.936469e-01,7.445927e-01
3.094868e-06,1.326647e-06,7.926504e-08,7.536385e-08,1.489287e-08,2.417554e-15,1.212748e-01,2.360573e-02,5.983639e-01,7.421165e-01
3.000000e-06,1.368599e-06,7.926504e-08,7.536385e-08,1.535696e-08,2.406536e-15,1.206827e-01,2.519509e-02,5.955675e-01,7.457575e-01
3.000000e-06,1.326647e-06,8.177162e-08,7.536385e-08,1.553640e-08,2.404267e-15,1.207001e-01,2.580960e-02,5.949917e-01,7.456500e-01
3.000000e-06,1.326647e-06,7.926504e-08,7.774706e-08,1.533833e-08,2.396844e-15,1.213060e-01,2.513128e-02,5.931077e-01,7.419255e-01
2.980053e-06,1.316094e-06,7.911392e-08,8.000000e-08,1.541938e-08,2.389373e-15,1.217095e-01,2.540885e-02,5.912113e-01,7.394659e-01
3.074290e-06,1.316094e-06,7.911392e-08,8.000000e-08,1.497117e-08,2.407176e-15,1.221830e-01,2.387388e-02,5.957299e-01,7.366002e-01
2.980053e-06,1.357712e-06,7.911392e-08,8.000000e-08,1.543789e-08,2.401525e-15,1.215005e-01,2.547221e-02,5.942956e-01,7.407378e-01
2.980053e-06,1.316094e-06,8.161572e-08,8.000000e-08,1.561846e-08,2.387305e-15,1.215038e-01,2.609062e-02,5.906865e-01,7.407178e-01
2.980053e-06,1.316094e-06,7.911392e-08,8.252982e-08,1.541934e-08,2.392364e-15,1.222150e-01,2.540871e-02,5.919705e-01,7.364069e-01
2.978510e-06,1.309769e-06,7.908511e-08,8.000000e-08,1.542187e-08,2.387600e-15,1.217374e-01,2.541738e-02,5.907615e-01,7.392962e-01
3.072699e-06,1.309769e-06,7.908511e-08,8.000000e-08,1.497357e-08,2.406022e-15,1.222132e-01,2.388209e-02,5.954371e-01,7.364182e-01
2.978510e-06,1.351188e-06,7.908511e-08,8.000000e-08,1.544029e-08,2.400481e-15,1.215275e-01,2.548046e-02,5.940308e-01,7.405732e-01
2.978510e-06,1.309769e-06,8.158600e-08,8.000000e-08,1.562100e-08,2.392744e-15,1.215304e-01,2.609930e-02,5.920670e-01,7.405552e-01
2.978510e-06,1.309769e-06,7.908511e-08,8.252982e-08,1.542184e-08,2.391254e-15,1.222441e-01,2.541724e-02,5.916887e-01,7.362321e-01
