WP          ,WN          ,LP          ,LN          ,Delay       ,Energy      ,NM          ,Norm Delay  ,Norm Energy ,1/NM        
1.200000e-06,2.400000e-07,4.000000e-08,8.000000e-08,4.983925e-08,2.440325e-15,1.021289e-01,1.432851e-01,6.041433e-01,8.812391e-01
1.237947e-06,2.400000e-07,4.000000e-08,8.000000e-08,4.998326e-08,2.458394e-15,1.013448e-01,1.437783e-01,6.087293e-01,8.880571e-01
1.200000e-06,2.475895e-07,4.000000e-08,8.000000e-08,4.902719e-08,2.442183e-15,1.023219e-01,1.405041e-01,6.046151e-01,8.795771e-01
1.200000e-06,2.400000e-07,4.126491e-08,8.000000e-08,4.979323e-08,2.378419e-15,1.048447e-01,1.431275e-01,5.884311e-01,8.584122e-01
1.200000e-06,2.400000e-07,4.000000e-08,8.252982e-08,4.963587e-08,2.439898e-15,1.022819e-01,1.425886e-01,6.040349e-01,8.799211e-01
3.000000e-06,1.500000e-06,8.000000e-08,4.000000e-08,2.108994e-08,2.956861e-15,1.159287e-01,4.482855e-02,7.352440e-01,7.763394e-01
3.094868e-06,1.500000e-06,8.000000e-08,4.000000e-08,2.122321e-08,2.978901e-15,1.164749e-01,4.528495e-02,7.408379e-01,7.726985e-01
3.000000e-06,1.547434e-06,8.000000e-08,4.000000e-08,2.049836e-08,2.974234e-15,1.154428e-01,4.280259e-02,7.396532e-01,7.796067e-01
3.000000e-06,1.500000e-06,8.252982e-08,4.000000e-08,2.108891e-08,2.955712e-15,1.157036e-01,4.482504e-02,7.349522e-01,7.778499e-01
3.000000e-06,1.500000e-06,8.000000e-08,4.126491e-08,2.056700e-08,2.960380e-15,1.156551e-01,4.303766e-02,7.361371e-01,7.781755e-01
3.000000e-06,1.200000e-07,4.000000e-08,8.000000e-08,7.748025e-08,3.270678e-15,7.620473e-02,2.379460e-01,8.148930e-01,1.181029e+00
2.799575e-06,1.444823e-06,7.962516e-08,4.000000e-08,2.159921e-08,2.891460e-15,1.154310e-01,4.657265e-02,7.186448e-01,7.796866e-01
2.888105e-06,1.444823e-06,7.962516e-08,4.000000e-08,2.172965e-08,2.916531e-15,1.159339e-01,4.701936e-02,7.250078e-01,7.763043e-01
2.799575e-06,1.490512e-06,7.962516e-08,4.000000e-08,2.100182e-08,2.905794e-15,1.149877e-01,4.452679e-02,7.222827e-01,7.826922e-01
2.799575e-06,1.444823e-06,8.214313e-08,4.000000e-08,2.159813e-08,2.891351e-15,1.152232e-01,4.656893e-02,7.186171e-01,7.810928e-01
2.799575e-06,1.444823e-06,7.962516e-08,4.126491e-08,2.102801e-08,2.895611e-15,1.151514e-01,4.461647e-02,7.196982e-01,7.815800e-01
2.325327e-06,1.372703e-06,7.893921e-08,4.000000e-08,2.203389e-08,2.776817e-15,1.133129e-01,4.806126e-02,6.895474e-01,7.942611e-01
2.398860e-06,1.372703e-06,7.893921e-08,4.000000e-08,2.210465e-08,2.791306e-15,1.140431e-01,4.830358e-02,6.932249e-01,7.891755e-01
2.325327e-06,1.416112e-06,7.893921e-08,4.000000e-08,2.147502e-08,2.791915e-15,1.126982e-01,4.614731e-02,6.933795e-01,7.985931e-01
2.325327e-06,1.372703e-06,8.143548e-08,4.000000e-08,2.203265e-08,2.774955e-15,1.129794e-01,4.805703e-02,6.890749e-01,7.966057e-01
2.325327e-06,1.372703e-06,7.893921e-08,4.126491e-08,2.142837e-08,2.778515e-15,1.129165e-01,4.598757e-02,6.899784e-01,7.970493e-01
2.534260e-06,1.248354e-06,7.785562e-08,4.000000e-08,2.410794e-08,2.773213e-15,1.160620e-01,5.516417e-02,6.886327e-01,7.754479e-01
2.614400e-06,1.248354e-06,7.785562e-08,4.000000e-08,2.420300e-08,2.792829e-15,1.166218e-01,5.548973e-02,6.936115e-01,7.717256e-01
2.534260e-06,1.287831e-06,7.785562e-08,4.000000e-08,2.348551e-08,2.783827e-15,1.156052e-01,5.303257e-02,6.913265e-01,7.785117e-01
2.534260e-06,1.248354e-06,8.031763e-08,4.000000e-08,2.410721e-08,2.775390e-15,1.158146e-01,5.516166e-02,6.891853e-01,7.771043e-01
2.534260e-06,1.248354e-06,7.785562e-08,4.126491e-08,2.351773e-08,2.776872e-15,1.158246e-01,5.314290e-02,6.895615e-01,7.770369e-01
2.198745e-06,1.153946e-06,7.627791e-08,4.000000e-08,2.530582e-08,2.678934e-15,1.150766e-01,5.926652e-02,6.647040e-01,7.820879e-01
2.268276e-06,1.153946e-06,7.627791e-08,4.000000e-08,2.540113e-08,2.693482e-15,1.155495e-01,5.959291e-02,6.683965e-01,7.788867e-01
2.198745e-06,1.190437e-06,7.627791e-08,4.000000e-08,2.464789e-08,2.691244e-15,1.146943e-01,5.701331e-02,6.678284e-01,7.846945e-01
2.198745e-06,1.153946e-06,7.869003e-08,4.000000e-08,2.530571e-08,2.676890e-15,1.148603e-01,5.926613e-02,6.641853e-01,7.835609e-01
