WP          ,WN          ,LP          ,LN          ,Delay       ,Energy      ,NM          ,Norm Delay  ,Norm Energy ,1/NM        
1.200000e-06,2.400000e-07,4.000000e-08,8.000000e-08,1.268515e-06,2.501223e-15,1.121143e-01,4.316831e+00,6.195997e-01,8.027522e-01
1.237947e-06,2.400000e-07,4.000000e-08,8.000000e-08,1.267934e-06,2.517625e-15,1.113284e-01,4.314843e+00,6.237626e-01,8.084191e-01
1.200000e-06,2.475895e-07,4.000000e-08,8.000000e-08,1.268528e-06,2.500326e-15,1.124288e-01,4.316877e+00,6.193721e-01,8.005066e-01
1.200000e-06,2.400000e-07,4.126491e-08,8.000000e-08,1.269650e-06,2.434597e-15,1.149170e-01,4.320720e+00,6.026896e-01,7.831741e-01
1.200000e-06,2.400000e-07,4.000000e-08,8.252982e-08,1.268516e-06,2.497949e-15,1.123623e-01,4.316836e+00,6.187689e-01,8.009804e-01
3.000000e-06,1.500000e-06,8.000000e-08,4.000000e-08,1.266189e-06,3.050795e-15,1.082340e-01,4.308868e+00,7.590849e-01,8.315316e-01
3.000000e-06,1.200000e-07,8.000000e-08,8.000000e-08,1.264538e-06,2.578758e-15,1.210844e-01,4.303213e+00,6.392788e-01,7.432832e-01
3.094868e-06,1.200000e-07,8.000000e-08,8.000000e-08,1.264158e-06,2.601103e-15,1.206715e-01,4.301910e+00,6.449500e-01,7.458263e-01
3.000000e-06,1.237947e-07,8.000000e-08,8.000000e-08,1.264543e-06,2.580886e-15,1.212126e-01,4.303229e+00,6.398187e-01,7.424972e-01
3.000000e-06,1.200000e-07,8.252982e-08,8.000000e-08,1.264714e-06,2.576331e-15,1.214567e-01,4.303815e+00,6.386626e-01,7.410048e-01
3.000000e-06,1.200000e-07,8.000000e-08,8.252982e-08,1.264539e-06,2.578869e-15,1.212959e-01,4.303214e+00,6.393069e-01,7.419873e-01
1.985050e-06,3.019647e-07,8.000000e-08,8.000000e-08,1.271335e-06,2.385836e-15,1.259604e-01,4.326490e+00,5.903137e-01,7.145101e-01
2.047823e-06,3.019647e-07,8.000000e-08,8.000000e-08,1.270732e-06,2.400117e-15,1.263585e-01,4.324425e+00,5.939384e-01,7.122594e-01
1.985050e-06,3.115137e-07,8.000000e-08,8.000000e-08,1.271353e-06,2.385016e-15,1.256464e-01,4.326552e+00,5.901056e-01,7.162961e-01
1.985050e-06,3.019647e-07,8.252982e-08,8.000000e-08,1.271593e-06,2.384100e-15,1.256254e-01,4.327373e+00,5.898731e-01,7.164156e-01
1.985050e-06,3.019647e-07,8.000000e-08,8.252982e-08,1.271337e-06,2.384915e-15,1.260963e-01,4.326496e+00,5.900800e-01,7.137401e-01
